city,timestamp,temperature,season
New York,2010-01-01,-1.8660516949315675,winter
New York,2010-01-02,4.627714405217937,winter
New York,2010-01-03,-0.40862955061019923,winter
New York,2010-01-04,4.031834013461941,winter
New York,2010-01-05,-5.64394204546082,winter
New York,2010-01-06,-0.5791506776433241,winter
New York,2010-01-07,3.186135896171416,winter
New York,2010-01-08,2.7509600071852947,winter
New York,2010-01-09,5.62264199424591,winter
New York,2010-01-10,4.014210650901067,winter
New York,2010-01-11,-3.181728998737693,winter
New York,2010-01-12,-4.19942276484321,winter
New York,2010-01-13,0.47589419827657137,winter
New York,2010-01-14,-5.430806942518814,winter
New York,2010-01-15,-1.5571040561222846,winter
New York,2010-01-16,-2.3059656458384286,winter
New York,2010-01-17,-4.28765343620641,winter
New York,2010-01-18,-0.23680893077147255,winter
New York,2010-01-19,6.322709478643601,winter
New York,2010-01-20,0.027250751528956303,winter
New York,2010-01-21,-3.2403471599380103,winter
New York,2010-01-22,1.149804247331165,winter
New York,2010-01-23,-3.5588904417053593,winter
New York,2010-01-24,3.2915406418976594,winter
New York,2010-01-25,-0.9275636971427308,winter
New York,2010-01-26,-6.024352002540251,winter
New York,2010-01-27,-4.34094619644132,winter
New York,2010-01-28,-2.2809685327947444,winter
New York,2010-01-29,-7.840401991395445,winter
New York,2010-01-30,2.201095712623075,winter
New York,2010-01-31,-9.910463232004142,winter
New York,2010-02-01,16.791996837978434,winter
New York,2010-02-02,-6.940903003049133,winter
New York,2010-02-03,0.880275825711258,winter
New York,2010-02-04,-0.4620936640600014,winter
New York,2010-02-05,-3.753378154937529,winter
New York,2010-02-06,-6.796608044112573,winter
New York,2010-02-07,-7.622228519650381,winter
New York,2010-02-08,2.3395020300997986,winter
New York,2010-02-09,-3.225290226773298,winter
New York,2010-02-10,-0.7783050973158311,winter
New York,2010-02-11,5.592448297473041,winter
New York,2010-02-12,-9.528635960144593,winter
New York,2010-02-13,1.3965965987745668,winter
New York,2010-02-14,2.522507716124996,winter
New York,2010-02-15,-2.8705909199653927,winter
New York,2010-02-16,2.6541108065608565,winter
New York,2010-02-17,-3.138171197844128,winter
New York,2010-02-18,2.109028874213869,winter
